,node_id,node_type,node_name,node_source
121901,1247.0,disease,social phobia,MONDO
121909,5302.0,disease,attention deficit disorder,MONDO
121941,7488.0,disease,Lewy body dementia,MONDO
121949,4359.0,disease,delusional disorder,MONDO
121950,1484.0,disease,paranoid schizophrenia,MONDO
121986,14092.0,disease,schizophrenia 18,MONDO
122036,495.0,disease,oppositional defiant disorder (disease),MONDO
122179,2443.0,disease,bruxism (disease),MONDO
122304,3969.0,disease,amphetamine abuse,MONDO
122405,2444.0,disease,melancholia,MONDO
122410,5689.0,disease,cannabis dependence,MONDO
122411,4456.0,disease,cocaine abuse,MONDO
122412,5186.0,disease,cocaine dependence,MONDO
122433,2905.0,disease,mutism (disease),MONDO
122585,14035.0,disease,severe intellectual disability-progressive spastic diplegia syndrome,MONDO
122646,395.0,disease,alcohol-related birth defect,MONDO
122647,393.0,disease,partial fetal alcohol syndrome,MONDO
122690,1185.0,disease,dissociative amnesia,MONDO
122743,14088.0,disease,advanced sleep phase syndrome 2,MONDO
122852,10407.0,disease,syndromic X-linked intellectual disability Turner type,MONDO
122858,13656.0,disease,"intellectual disability, autosomal dominant 9",MONDO
122860,5258.0,disease,autism spectrum disorder,MONDO
122904,1866.0,disease,bipolar I disorder,MONDO
122993,14699.0,disease,"intellectual disability, autosomal dominant 40",MONDO
123063,1225.0,disease,opioid abuse,MONDO
123131,5912.0,disease,phencyclidine abuse,MONDO
123135,1726.0,disease,childhood disintegrative disease,MONDO
123238,12946.0,disease,"intellectual disability, autosomal dominant 3",MONDO
123239,10648.0,disease,major affective disorder 2,MONDO
123297,665.0,disease,apraxia,MONDO
123320,3406.0,disease,sleep-wake disorder,MONDO
123367,10473.0,disease,X-linked intellectual disability-cardiomegaly-congestive heart failure syndrome,MONDO
123559,2025.0,disease,psychiatric disorder,MONDO
123596,15609.0,disease,advanced sleep phase syndrome,MONDO
123874,13805.0,disease,"intellectual disability, autosomal dominant 13",MONDO
123893,14580.0,disease,"intellectual disability, autosomal dominant 33",MONDO
123896,1162.0,disease,impulse control disorder,MONDO
123897,1520.0,disease,kleptomania,MONDO
123900,11662.0,disease,pathological gambling,MONDO
123902,1098.0,disease,separation anxiety disorder,MONDO
123903,2419.0,disease,transient tic disorder,MONDO
123931,13578.0,disease,DYRK1A-related intellectual disability syndrome,MONDO
123981,14617.0,disease,"intellectual disability, autosomal dominant 38",MONDO
123993,10726.0,disease,Rett syndrome,MONDO
124001,10258.0,disease,MEHMO syndrome,MONDO
124014,13658.0,disease,"intellectual disability, autosomal dominant 11",MONDO
124174,4922.0,disease,developmental coordination disorder,MONDO
124212,10398.0,disease,syndromic X-linked intellectual disability 14,MONDO
124416,14855.0,disease,"intellectual disability, autosomal dominant 42",MONDO
124432,10654.0,disease,Partington syndrome,MONDO
124434,10402.0,disease,syndromic X-linked intellectual disability 94,MONDO
124438,11842.0,disease,Grn-related frontotemporal lobar degeneration with Tdp43 inclusions,MONDO
124441,13655.0,disease,"intellectual disability, autosomal dominant 8",MONDO
124442,4730.0,disease,speech disorder,MONDO
124443,13509.0,disease,"intellectual disability, autosomal dominant 6",MONDO
124509,14858.0,disease,"intellectual disability, autosomal dominant 43",MONDO
124516,7863.0,disease,Kleine-Levin syndrome,MONDO
124543,13189.0,disease,trichotillomania,MONDO
124607,3117.0,disease,somatoform disorder,MONDO
124608,1830.0,disease,somatization disorder,MONDO
124624,10333.0,disease,corpus callosum agenesis-intellectual disability-coloboma-micrognathia syndrome,MONDO
124627,10664.0,disease,syndromic X-linked intellectual disability Snyder type,MONDO
124684,10283.0,disease,syndromic X-linked intellectual disability Lubs type,MONDO
124882,1164.0,disease,antisocial personality disorder,MONDO
124883,2028.0,disease,personality disorder (disease),MONDO
124896,10235.0,disease,X-linked intellectual disability-psychosis-macroorchidism syndrome,MONDO
124898,13266.0,disease,"intellectual disability, autosomal dominant 20",MONDO
125104,10501.0,disease,syndromic X-linked intellectual disability 34,MONDO
125146,10337.0,disease,X-linked intellectual disability-cerebellar hypoplasia syndrome,MONDO
125147,12054.0,disease,schizophrenia 12,MONDO
125328,14605.0,disease,microcephaly-corpus callosum hypoplasia-intellectual disability-facial dysmorphism syndrome,MONDO
125331,14602.0,disease,intellectual disability-macrocephaly-hypotonia-behavioral abnormalities syndrome,MONDO
125360,10943.0,disease,schizophrenia 4,MONDO
125364,10533.0,disease,Arts syndrome,MONDO
125419,14512.0,disease,PURA-related severe neonatal hypotonia-seizures-encephalopathy syndrome due to a point mutation,MONDO
125471,15452.0,disease,Coffin-Siris syndrome,MONDO
125610,2027.0,disease,avoidant personality disorder,MONDO
125611,1157.0,disease,dependent personality disorder,MONDO
125612,5259.0,disease,Asperger syndrome,MONDO
125628,13804.0,disease,"intellectual disability, autosomal dominant 12",MONDO
125630,13821.0,disease,"intellectual disability, autosomal dominant 16",MONDO
125633,13820.0,disease,"intellectual disability, autosomal dominant 15",MONDO
125641,693.0,disease,bipolar II disorder,MONDO
125675,14376.0,disease,"intellectual disability, autosomal dominant 27",MONDO
125756,8414.0,disease,SCZD1,MONDO
125839,14892.0,disease,micrognathia-recurrent infections-behavioral abnormalities-mild intellectual disability syndrome,MONDO
125867,10461.0,disease,syndromic X-linked intellectual disability Nascimento type,MONDO
125939,14558.0,disease,autosomal dominant intellectual disability-craniofacial anomalies-cardiac defects syndrome,MONDO
125965,10355.0,disease,syndromic X-linked intellectual disability Claes-Jensen type,MONDO
125969,13819.0,disease,"intellectual disability, autosomal dominant 14",MONDO
125985,10306.0,disease,"X-linked intellectual disability, Cabezas type",MONDO
126004,10417.0,disease,syndromic X-linked intellectual disability Najm type,MONDO
126036,12960.0,disease,"intellectual disability, autosomal dominant 5",MONDO
126042,11442.0,disease,advanced sleep phase syndrome 1,MONDO
126051,10574.0,disease,syndromic X-linked intellectual disability 5,MONDO
126217,5638.0,disease,agnosia,MONDO
126228,3265.0,disease,adjustment disorder,MONDO
126245,10653.0,disease,Renpenning syndrome,MONDO
126246,14599.0,disease,"intellectual disability, autosomal dominant 34",MONDO
126256,10319.0,disease,syndromic X-linked intellectual disability Hedera type,MONDO
126298,13657.0,disease,"intellectual disability, autosomal dominant 10",MONDO
126311,12869.0,disease,"intellectual disability, autosomal dominant 22",MONDO
126312,10278.0,disease,Christianson syndrome,MONDO
126320,14357.0,disease,"intellectual disability, autosomal dominant 24",MONDO
126337,14213.0,disease,intellectual disability-feeding difficulties-developmental delay-microcephaly syndrome,MONDO
126357,14486.0,disease,"intellectual disability, autosomal dominant 30",MONDO
126446,14678.0,disease,"intellectual disability, autosomal dominant 39",MONDO
126458,14606.0,disease,intellectual disability-microcephaly-strabismus-behavioral abnormalities syndrome,MONDO
126459,10286.0,disease,syndromic X-linked intellectual disability Siderius type,MONDO
126468,11552.0,disease,SCZD10,MONDO
126500,14379.0,disease,ADNP-related multiple congenital anomalies - intellectual disability - autism spectrum disorder,MONDO
126517,723.0,disease,stutter disorder,MONDO
126588,14482.0,disease,"intellectual disability, autosomal dominant 29",MONDO
126590,14361.0,disease,autism spectrum disorder due to AUTS2 deficiency,MONDO
126644,14358.0,disease,AHDC1-related intellectual disability - obstructive sleep apnea - mild dysmorphism syndrome,MONDO
126649,10277.0,disease,syndromic X-linked intellectual disability Shashi type,MONDO
126753,10427.0,disease,syndromic X-linked intellectual disability Raymond type,MONDO
126898,14336.0,disease,intellectual disability-facial dysmorphism syndrome due to SETD5 haploinsufficiency,MONDO
126933,14006.0,disease,Schuurs-Hoeijmakers syndrome,MONDO
126944,7974.0,disease,"intellectual disability, autosomal dominant 1",MONDO
126961,10665.0,disease,Wilson-Turner syndrome,MONDO
126964,10666.0,disease,Miles-Carpenter syndrome,MONDO
127019,14034.0,disease,severe intellectual disability-poor language-strabismus-grimacing face-long fingers syndrome,MONDO
127070,4617.0,disease,recurrent hypersomnia,MONDO
127193,14842.0,disease,"intellectual disability, autosomal dominant 41",MONDO
127255,1712.0,disease,alexia,MONDO
127256,5489.0,disease,dyslexia (disease),MONDO
127257,1697.0,disease,reading disorder,MONDO
127314,10537.0,disease,Borjeson-Forssman-Lehmann syndrome,MONDO
127328,12947.0,disease,"intellectual disability, autosomal dominant 4",MONDO
127359,13498.0,disease,schizophrenia 15,MONDO
127363,11960.0,disease,schizophrenia 11,MONDO
127416,724.0,disease,specific language impairment,MONDO
127607,10353.0,disease,"deafness-intellectual disability, Martin-Probst type syndrome",MONDO
127700,4648.0,disease,vascular dementia,MONDO
142372,1552.0,disease,dyscalculia (disease),MONDO
142373,4750.0,disease,language disorder,MONDO
142419,671.0,disease,finger agnosia (disease),MONDO
142420,3038.0,disease,dysgraphia (disease),MONDO
142421,680.0,disease,astereognosia (disease),MONDO
142422,3227.0,disease,prosopagnosia (disease),MONDO
142423,2904.0,disease,echolalia (disease),MONDO
142424,1617.0,disease,transient global amnesia (disease),MONDO
142431,2613.0,disease,histrionic personality disorder (disease),MONDO
142449,685.0,disease,visual agnosia (disease),MONDO
