node_id,node_type,node_name,node_source,group_name_auto,group_name_bert
9699,disease,action myoclonus-renal failure syndrome,MONDO,action myoclonus-renal failure syndrome,action myoclonus-renal failure syndrome
14986,disease,Fanconi anemia complementation group R,MONDO,Fanconi anemia complementation group,Fanconi anemia complementation group
7157,disease,"arthrogryposis, distal, type 1A",MONDO,"arthrogryposis, distal,","arthrogryposis, distal,"
14897,disease,"portal hypertension, noncirrhotic",MONDO,"portal hypertension, noncirrhotic","portal hypertension, noncirrhotic"
12035,disease,craniosynostosis-intracranial calcifications syndrome,MONDO,craniosynostosis-intracranial calcifications syndrome,craniosynostosis-intracranial calcifications syndrome
10023,disease,combined immunodeficiency due to ZAP70 deficiency,MONDO,combined immunodeficiency due to ZAP70 deficiency,combined immunodeficiency due to ZAP70 deficiency
32884,disease,"ectodermal dysplasia with facial dysmorphism and acral, ocular, and brain anomalies",MONDO,"ectodermal dysplasia with facial dysmorphism and acral, ocular, and brain anomalies","ectodermal dysplasia with facial dysmorphism and acral, ocular, and brain anomalies"
32911,disease,"deafness, autosomal dominant 75",MONDO,"deafness, autosomal dominant","deafness, autosomal dominant"
14076,disease,"dyskeratosis congenita, autosomal recessive 5",MONDO,"dyskeratosis congenita, autosomal recessive","dyskeratosis congenita, autosomal recessive"
14624,disease,Brown syndrome,MONDO,Brown syndrome,Brown syndrome
54593,disease,"microcephaly 18, primary, autosomal dominant",MONDO,"microcephaly 18, primary, autosomal dominant",primary microcephaly
14798,disease,brachydactyly type A1D,MONDO,brachydactyly,brachydactyly
10090,disease,Summitt syndrome,MONDO,Summitt syndrome,Summitt syndrome
30027,disease,"tremor, hereditary essential, 6",MONDO,"tremor, hereditary essential","tremor, hereditary essential"
7099,disease,familial visceral amyloidosis,MONDO,familial visceral amyloidosis,familial visceral amyloidosis
24541,disease,trichohepatoenteric syndrome 1,MONDO,trichohepatoenteric syndrome,trichohepatoenteric syndrome
13285,disease,"immunodeficiency, common variable, 5",MONDO,"immunodeficiency, common variable","immunodeficiency, common variable"
8196,disease,parastremmatic dwarfism,MONDO,parastremmatic dwarfism,parastremmatic dwarfism
9614,disease,vitamin B12-responsive methylmalonic acidemia type cblB,MONDO,vitamin B12-responsive methylmalonic acidemia type cblB,vitamin B12-responsive methylmalonic acidemia
11870,disease,annular epidermolytic ichthyosis,MONDO,annular epidermolytic ichthyosis,annular epidermolytic ichthyosis
12015,disease,"nystagmus 3, congenital, autosomal dominant",MONDO,"nystagmus 3, congenital, autosomal dominant",congenital nystagmus
7774,disease,hyperreflexia (disease),MONDO,hyperreflexia (disease),hyperreflexia (disease)
11063,disease,"hidrotic ectodermal dysplasia, Christianson-Fourie type",MONDO,"hidrotic ectodermal dysplasia, Christianson-Fourie type","hidrotic ectodermal dysplasia, Christianson-Fourie type"
7315,disease,cherubism,MONDO,cherubism,cherubism
11107,disease,congenital hypotrichosis with juvenile macular dystrophy,MONDO,congenital hypotrichosis with juvenile macular dystrophy,congenital hypotrichosis with juvenile macular dystrophy
12345,disease,acral peeling skin syndrome,MONDO,acral peeling skin syndrome,acral peeling skin syndrome
32659,disease,"mucocutaneous ulceration, chronic",MONDO,"mucocutaneous ulceration, chronic","mucocutaneous ulceration, chronic"
7447,disease,autosomal dominant vibratory urticaria,MONDO,autosomal dominant vibratory urticaria,autosomal dominant vibratory urticaria
32914,disease,"ciliary dyskinesia, primary, 44",MONDO,"ciliary dyskinesia, primary",primary ciliary dyskinesia
8470,disease,spondyloepiphyseal dysplasia with punctate corneal dystrophy,MONDO,spondyloepiphyseal dysplasia with punctate corneal dystrophy,spondyloepiphyseal dysplasia with punctate corneal dystrophy
11015,disease,cataract 24,MONDO,cataract,cataract
13843,disease,intestinal obstruction in the newborn due to guanylate cyclase 2C deficiency,MONDO,intestinal obstruction in the newborn due to guanylate cyclase 2C deficiency,intestinal obstruction in the newborn due to guanylate cyclase 2C deficiency
12203,disease,familial hyperthyroidism due to mutations in TSH receptor,MONDO,familial hyperthyroidism due to mutations in TSH receptor,familial hyperthyroidism due to mutations in TSH receptor
11732,disease,familial digital arthropathy-brachydactyly,MONDO,familial digital arthropathy-brachydactyly,familial digital arthropathy-brachydactyly
8237,disease,phocomelia-ectrodactyly-deafness-sinus arrhythmia syndrome,MONDO,phocomelia-ectrodactyly-deafness-sinus arrhythmia syndrome,phocomelia-ectrodactyly-deafness-sinus arrhythmia syndrome
10214,disease,xeroderma pigmentosum variant type,MONDO,xeroderma pigmentosum variant type,xeroderma pigmentosum
7207,disease,Böök syndrome,MONDO,Böök syndrome,Böök syndrome
14848,disease,TELO2-related intellectual disability-neurodevelopmental disorder,MONDO,TELO2-related intellectual disability-neurodevelopmental disorder,TELO2-related intellectual disability-neurodevelopmental disorder
7312,disease,Charcot-Marie-Tooth disease with ptosis and parkinsonism,MONDO,Charcot-Marie-Tooth disease with ptosis and parkinsonism,Charcot-Marie-Tooth disease with ptosis and parkinsonism
14803,disease,spasticity-ataxia-gait anomalies syndrome,MONDO,spasticity-ataxia-gait anomalies syndrome,spasticity-ataxia-gait anomalies syndrome
9577,disease,megalocornea-intellectual disability syndrome,MONDO,megalocornea-intellectual disability syndrome,megalocornea-intellectual disability syndrome
9712,disease,congenital multicore myopathy with external ophthalmoplegia,MONDO,congenital multicore myopathy with external ophthalmoplegia,congenital multicore myopathy with external ophthalmoplegia
14555,disease,peeling skin syndrome type A,MONDO,peeling skin syndrome,peeling skin syndrome
12238,disease,"progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 2",MONDO,"progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant",progressive external ophthalmoplegia with mitochondrial DNA deletions
11670,disease,Ehlers-Danlos syndrome due to tenascin-X deficiency,MONDO,Ehlers-Danlos syndrome due to tenascin-X deficiency,Ehlers-Danlos syndrome due to tenascin-X deficiency
11177,disease,"ectodermal dysplasia 4, hair/nail type",MONDO,"ectodermal dysplasia 4, hair/nail type",ectodermal dysplasia
33622,disease,spermatogenic failure 44,MONDO,spermatogenic failure,spermatogenic failure
7794,disease,hypogonadotropic hypogonadism 7 with or without anosmia,MONDO,hypogonadotropic hypogonadism 7 with or without anosmia,hypogonadotropic hypogonadism with or without anosmia
14078,disease,platelet-type bleeding disorder 15,MONDO,platelet-type bleeding disorder,platelet-type bleeding disorder
7411,disease,"cutis laxa, autosomal dominant 1",MONDO,"cutis laxa, autosomal dominant","cutis laxa, autosomal dominant"
14502,disease,mendelian susceptibility to mycobacterial diseases due to complete ISG15 deficiency,MONDO,mendelian susceptibility to mycobacterial diseases due to complete ISG15 deficiency,mendelian susceptibility to mycobacterial diseases due to complete ISG15 deficiency
10070,disease,"brachyolmia type 1, Hobaek type",MONDO,"brachyolmia type 1, Hobaek type","brachyolmia type 1, Hobaek type"
12748,disease,primary ciliary dyskinesia 7,MONDO,"ciliary dyskinesia, primary",primary ciliary dyskinesia
8596,disease,trichorhinophalangeal syndrome type I,MONDO,trichorhinophalangeal syndrome,trichorhinophalangeal syndrome
18959,disease,potassium-aggravated myotonia,MONDO,potassium-aggravated myotonia,potassium-aggravated myotonia
10957,disease,"agonadism, 46,XY, with intellectual disability, short stature, retarded bone age, and multiple extragenital malformations",MONDO,"agonadism, 46,XY, with intellectual disability, short stature, retarded bone age, and multiple extragenital malformations","agonadism, 46,XY, with intellectual disability, short stature, retarded bone age, and multiple extragenital malformations"
33541,disease,immunodeficiency 69,MONDO,immunodeficiency,immunodeficiency
7793,disease,hypochondroplasia,MONDO,hypochondroplasia,hypochondroplasia
11703,disease,spongiform encephalopathy with neuropsychiatric features,MONDO,spongiform encephalopathy with neuropsychiatric features,spongiform encephalopathy with neuropsychiatric features
8840,disease,ataxia telangiectasia,MONDO,ataxia telangiectasia,ataxia telangiectasia
11108,disease,Stüve-Wiedemann syndrome,MONDO,Stüve-Wiedemann syndrome,Stüve-Wiedemann syndrome
18855,disease,keratosis pilaris atrophicans,MONDO,keratosis pilaris atrophicans,keratosis pilaris
10803,disease,Eiken syndrome,MONDO,Eiken syndrome,Eiken syndrome
14619,disease,"trichothiodystrophy 3, photosensitive",MONDO,"trichothiodystrophy 3, photosensitive",trichothiodystrophy photosensitive
10102,disease,taurodontia-absent teeth-sparse hair syndrome,MONDO,taurodontia-absent teeth-sparse hair syndrome,taurodontia-absent teeth-sparse hair syndrome
11275,disease,"acromesomelic dysplasia, Maroteaux type",MONDO,"acromesomelic dysplasia, Maroteaux type",acromesomelic dysplasia
10678,disease,"muscular dystrophy, progressive Pectorodorsal",MONDO,"muscular dystrophy, progressive Pectorodorsal","muscular dystrophy, progressive Pectorodorsal"
14280,disease,immunodeficiency 19,MONDO,immunodeficiency,immunodeficiency
13119,disease,autosomal recessive nonsyndromic deafness 77,MONDO,autosomal recessive nonsyndromic deafness,autosomal recessive nonsyndromic deafness
13978,disease,autosomal recessive nonsyndromic deafness 70,MONDO,autosomal recessive nonsyndromic deafness,autosomal recessive nonsyndromic deafness
7183,disease,"azotemia, familial",MONDO,"azotemia, familial","azotemia, familial"
9806,disease,Bruck syndrome 1,MONDO,Bruck syndrome,Bruck syndrome
12655,disease,"myoclonic epilepsy, juvenile, susceptibility to, 4",MONDO,"myoclonic epilepsy, juvenile, susceptibility to","myoclonic epilepsy, juvenile, susceptibility to"
10741,disease,"tooth agenesis, selective, X-linked, 1",MONDO,"tooth agenesis, selective, X-linked, 1","tooth agenesis, selective, X-linked, 1"
10547,disease,X-linked progressive cerebellar ataxia,MONDO,X-linked progressive cerebellar ataxia,X-linked progressive cerebellar ataxia
9520,disease,3-hydroxy-3-methylglutaric aciduria,MONDO,3-hydroxy-3-methylglutaric aciduria,3-hydroxy-3-methylglutaric aciduria
12060,disease,autosomal recessive nonsyndromic deafness 35,MONDO,autosomal recessive nonsyndromic deafness,autosomal recessive nonsyndromic deafness
12063,disease,ulnar/fibula ray defect-brachydactyly syndrome,MONDO,ulnar/fibula ray defect-brachydactyly syndrome,ulnar/fibula ray defect-brachydactyly syndrome
8527,disease,tarsal coalition,MONDO,tarsal coalition,tarsal coalition
11814,disease,Smith-McCort dysplasia 1,MONDO,Smith-McCort dysplasia,Smith-McCort dysplasia
8265,disease,polycystic liver disease 1,MONDO,polycystic liver disease,polycystic liver disease
12945,disease,amyotrophic lateral sclerosis type 11,MONDO,amyotrophic lateral sclerosis,amyotrophic lateral sclerosis
10615,disease,isolated growth hormone deficiency type III,MONDO,isolated growth hormone deficiency,isolated growth hormone deficiency
13141,disease,autosomal dominant macrothrombocytopenia TUBB1-related,MONDO,autosomal dominant macrothrombocytopenia TUBB1-related,autosomal dominant macrothrombocytopenia
9705,disease,carnitine palmitoyl transferase 1A deficiency,MONDO,carnitine palmitoyl transferase 1A deficiency,carnitine palmitoyl transferase 1A deficiency
7943,disease,Nager acrofacial dysostosis,MONDO,Nager acrofacial dysostosis,Nager acrofacial dysostosis
8045,disease,spinal muscular atrophy-progressive myoclonic epilepsy syndrome,MONDO,spinal muscular atrophy-progressive myoclonic epilepsy syndrome,spinal muscular atrophy-progressive myoclonic epilepsy syndrome
9429,disease,"hypophosphatemia, renal, with intracerebral calcifications",MONDO,"hypophosphatemia, renal, with intracerebral calcifications","hypophosphatemia, renal, with intracerebral calcifications"
14992,disease,lissencephaly 8,MONDO,lissencephaly,lissencephaly
7366,disease,"seizures, benign familial neonatal, 2",MONDO,"seizures, benign familial neonatal",benign familial neonatal-infantile seizures
60527,disease,maleylacetoacetate isomerase deficiency,MONDO,maleylacetoacetate isomerase deficiency,maleylacetoacetate isomerase deficiency
9681,disease,Ullrich congenital muscular dystrophy 1,MONDO,Ullrich congenital muscular dystrophy,Ullrich congenital muscular dystrophy
10173,disease,Mayer-Rokitansky-Kuster-Hauser syndrome type 1,MONDO,Mayer-Rokitansky-Kuster-Hauser syndrome type 1,Mayer-Rokitansky-Kuster-Hauser syndrome type 1
7976,disease,mesomelic dwarfism of hypoplastic tibia and radius type,MONDO,mesomelic dwarfism of hypoplastic tibia and radius type,mesomelic dwarfism of hypoplastic tibia and radius type
10218,disease,"46,XX sex reversal 2",MONDO,"46,XX sex reversal","46,XX sex reversal"
11136,disease,Quebec platelet disorder,MONDO,Quebec platelet disorder,Quebec platelet disorder
8149,disease,"osteogenesis imperfecta with opalescent teeth, blue sclerae and wormian bones but without fractures",MONDO,"osteogenesis imperfecta with opalescent teeth, blue sclerae and wormian bones but without fractures","osteogenesis imperfecta with opalescent teeth, blue sclerae and wormian bones but without fractures"
9155,disease,EEM syndrome,MONDO,EEM syndrome,EEM syndrome
14542,disease,congenital myasthenic syndrome 15,MONDO,congenital myasthenic syndrome,congenital myasthenic syndrome
44721,disease,severe combined immunodeficiency due to LAT deficiency,MONDO,severe combined immunodeficiency due to LAT deficiency,severe combined immunodeficiency due to LAT deficiency
9740,disease,neurofaciodigitorenal syndrome,MONDO,neurofaciodigitorenal syndrome,neurofaciodigitorenal syndrome
12662,disease,Usher syndrome type 2D,MONDO,Usher syndrome,Usher syndrome
14338,disease,IL21-related infantile inflammatory bowel disease,MONDO,IL21-related infantile inflammatory bowel disease,IL21-related infantile inflammatory bowel disease
7048,disease,acrokeratosis verruciformis,MONDO,acrokeratosis verruciformis,acrokeratosis verruciformis
14820,disease,mitochondrial DNA depletion syndrome 14 (cardioencephalomyopathic type),MONDO,mitochondrial DNA depletion syndrome 14 (cardioencephalomyopathic type),mitochondrial DNA depletion syndrome 14 (cardioencephalomyopathic type)
7841,disease,coxopodopatellar syndrome,MONDO,coxopodopatellar syndrome,coxopodopatellar syndrome
13623,disease,platelet-type bleeding disorder 11,MONDO,platelet-type bleeding disorder,platelet-type bleeding disorder
13809,disease,"cerebellar ataxia, neuropathy, and vestibular areflexia syndrome",MONDO,"cerebellar ataxia, neuropathy, and vestibular areflexia syndrome","cerebellar ataxia, neuropathy, and vestibular areflexia syndrome"
32775,disease,neurodevelopmental disorder with seizures and speech and walking impairment,MONDO,neurodevelopmental disorder with seizures and speech and walking impairment,neurodevelopmental disorder with seizures and speech and walking impairment
14293,disease,autosomal dominant nonsyndromic deafness 58,MONDO,autosomal dominant nonsyndromic deafness,autosomal dominant nonsyndromic deafness
7039,disease,neurofibromatosis type 2,MONDO,neurofibromatosis,neurofibromatosis
9816,disease,autosomal recessive osteopetrosis 2,MONDO,autosomal recessive osteopetrosis,osteopetrosis
13081,disease,lymphoproliferative syndrome 1,MONDO,lymphoproliferative syndrome,lymphoproliferative syndrome
13017,disease,hypotrichosis 5,MONDO,hypotrichosis,hypotrichosis
11335,disease,spondyloepimetaphyseal dysplasia with multiple dislocations,MONDO,spondyloepimetaphyseal dysplasia with multiple dislocations,spondyloepimetaphyseal dysplasia with joint dislocations
10570,disease,craniofrontonasal syndrome,MONDO,craniofrontonasal syndrome,craniofrontonasal syndrome
14227,disease,hypopigmentation-punctate palmoplantar keratoderma syndrome,MONDO,hypopigmentation-punctate palmoplantar keratoderma syndrome,hypopigmentation-punctate palmoplantar keratoderma syndrome
13087,disease,bronchiectasis with or without elevated sweat chloride 2,MONDO,bronchiectasis with or without elevated sweat chloride,bronchiectasis with or without elevated sweat chloride
9413,disease,"immunodeficiency, common variable, 2",MONDO,"immunodeficiency, common variable","immunodeficiency, common variable"
13890,disease,congenital myopathy with internal nuclei and atypical cores,MONDO,congenital myopathy with internal nuclei and atypical cores,congenital myopathy with internal nuclei and atypical cores
13597,disease,platelet-type bleeding disorder 14,MONDO,platelet-type bleeding disorder,platelet-type bleeding disorder
8521,disease,tarsal-carpal coalition syndrome,MONDO,tarsal-carpal coalition syndrome,tarsal-carpal coalition syndrome
9613,disease,vitamin B12-responsive methylmalonic acidemia type cblA,MONDO,vitamin B12-responsive methylmalonic acidemia type cblA,vitamin B12-responsive methylmalonic acidemia
8597,disease,"trichorhinophalangeal syndrome, type III",MONDO,trichorhinophalangeal syndrome,trichorhinophalangeal syndrome
10619,disease,X-linked dominant hypophosphatemic rickets,MONDO,X-linked dominant hypophosphatemic rickets,hereditary hypophosphatemic rickets
14470,disease,autosomal dominant nonsyndromic deafness 65,MONDO,autosomal dominant nonsyndromic deafness,autosomal dominant nonsyndromic deafness
30105,disease,galactosemia 4,MONDO,galactosemia 4,galactosemia
10121,disease,thrombocytopenia-absent radius syndrome,MONDO,thrombocytopenia-absent radius syndrome,thrombocytopenia-absent radius syndrome
10956,disease,"enamel hypoplasia, cataracts, and aqueductal stenosis",MONDO,"enamel hypoplasia, cataracts, and aqueductal stenosis","enamel hypoplasia, cataracts, and aqueductal stenosis"
11881,disease,keratosis palmoplantaris striata 3,MONDO,keratosis palmoplantaris striata,keratosis palmoplantaris striata
9151,disease,cleft lip/palate-ectodermal dysplasia syndrome,MONDO,cleft lip/palate-ectodermal dysplasia syndrome,cleft lip/palate-ectodermal dysplasia syndrome
12380,disease,autosomal dominant nonsyndromic deafness 53,MONDO,autosomal dominant nonsyndromic deafness,autosomal dominant nonsyndromic deafness
8603,disease,trigonocephaly 1,MONDO,trigonocephaly,trigonocephaly
9294,disease,glycogen storage disease VI,MONDO,glycogen storage disease,glycogen storage disease
14831,disease,progeroid and marfanoid aspect-lipodystrophy syndrome,MONDO,progeroid and marfanoid aspect-lipodystrophy syndrome,progeroid and marfanoid aspect-lipodystrophy syndrome
11691,disease,amyotrophic lateral sclerosis type 3,MONDO,amyotrophic lateral sclerosis,amyotrophic lateral sclerosis
11539,disease,nemaline myopathy 5,MONDO,nemaline myopathy,nemaline myopathy
9288,disease,glycogen storage disease due to glucose-6-phosphatase deficiency type IB,MONDO,glycogen storage disease due to glucose-6-phosphatase deficiency,glycogen storage disease due to glucose-6-phosphatase deficiency
10435,disease,"nystagmus 6, congenital, X-linked",MONDO,"nystagmus 6, congenital, X-linked","nystagmus, congenital, X-linked"
33005,disease,Galloway-Mowat syndrome 1,MONDO,Galloway-Mowat syndrome,Galloway-Mowat syndrome
8322,disease,pseudoachondroplasia,MONDO,pseudoachondroplasia,pseudoachondroplasia
13500,disease,immunodeficiency 51,MONDO,immunodeficiency,immunodeficiency
12684,disease,arrhythmogenic right ventricular dysplasia 12,MONDO,arrhythmogenic right ventricular dysplasia,arrhythmogenic right ventricular dysplasia
11456,disease,nephronophthisis 3,MONDO,nephronophthisis,nephronophthisis
10184,disease,methylmalonic aciduria and homocystinuria type cblC,MONDO,methylmalonic aciduria and homocystinuria type cblC,methylmalonic aciduria/acidemia and homocystinuria
13681,disease,alpha-methylacyl-CoA racemase deficiency,MONDO,alpha-methylacyl-CoA racemase deficiency,alpha-methylacyl-CoA racemase deficiency
10248,disease,X-linked spondyloepimetaphyseal dysplasia,MONDO,X-linked spondyloepimetaphyseal dysplasia,X-linked spondyloepimetaphyseal dysplasia
10674,disease,mucopolysaccharidosis type 2,MONDO,mucopolysaccharidosis,mucopolysaccharidosis
15017,disease,anterior segment dysgenesis 8,MONDO,anterior segment dysgenesis,anterior segment dysgenesis
44206,disease,"otospondylomegaepiphyseal dysplasia, autosomal recessive",MONDO,"otospondylomegaepiphyseal dysplasia, autosomal recessive",otospondylomegaepiphyseal dysplasia
14276,disease,combined immunodeficiency due to CD3gamma deficiency,MONDO,combined immunodeficiency due to CD3gamma deficiency,combined immunodeficiency due to CD3gamma deficiency
8211,disease,"pseudoleprechaunism syndrome, Patterson type",MONDO,"pseudoleprechaunism syndrome, Patterson type","pseudoleprechaunism syndrome, Patterson type"
9008,disease,heart defect - tongue hamartoma - polysyndactyly syndrome,MONDO,heart defect - tongue hamartoma - polysyndactyly syndrome,heart defect - tongue hamartoma - polysyndactyly syndrome
10031,disease,Sjogren-Larsson syndrome,MONDO,Sjogren-Larsson syndrome,Sjogren-Larsson syndrome
10884,disease,"muscular dystrophy, scapulohumeral",MONDO,"muscular dystrophy, scapulohumeral","muscular dystrophy, scapulohumeral"
11839,disease,Newfoundland cone-rod dystrophy,MONDO,Newfoundland cone-rod dystrophy,Newfoundland cone-rod dystrophy
32584,disease,"ectodermal dysplasia 14, hair/tooth type with or without hypohidrosis",MONDO,"ectodermal dysplasia 14, hair/tooth type with or without hypohidrosis","ectodermal dysplasia 14, hair/tooth type with or without hypohidrosis"
42499,disease,benign familial neonatal-infantile seizures 1,MONDO,benign familial neonatal-infantile seizures 1,benign familial neonatal-infantile seizures
7204,disease,Cole-Carpenter syndrome 1,MONDO,Cole-Carpenter syndrome,Cole-Carpenter syndrome
12127,disease,autosomal recessive limb-girdle muscular dystrophy type 2J,MONDO,autosomal recessive limb-girdle muscular dystrophy,limb-girdle muscular dystrophy
13444,disease,nephronophthisis 9,MONDO,nephronophthisis,nephronophthisis
10909,disease,UV-sensitive syndrome 1,MONDO,UV-sensitive syndrome,UV-sensitive syndrome
7217,disease,brachydactyly type A3,MONDO,brachydactyly,brachydactyly
12214,disease,glucocorticoid deficiency 3,MONDO,glucocorticoid deficiency,glucocorticoid deficiency
11530,disease,"mesomelic dysplasia, Savarirayan type",MONDO,"mesomelic dysplasia, Savarirayan type",mesomelic dysplasia
7094,disease,amelogenesis imperfecta type 1A,MONDO,amelogenesis imperfecta,amelogenesis imperfecta
11593,disease,"seizures, benign familial infantile, 2",MONDO,"seizures, benign familial infantile",benign familial neonatal-infantile seizures
12592,disease,osteogenesis imperfecta type 11,MONDO,osteogenesis imperfecta,osteogenesis imperfecta
10838,disease,gonadal agenesis,MONDO,gonadal agenesis,gonadal agenesis
8648,disease,"ventricular tachycardia, familial",MONDO,"ventricular tachycardia, familial","ventricular tachycardia, familial"
14278,disease,immunodeficiency 18,MONDO,immunodeficiency,immunodeficiency
13120,disease,"46,XY sex reversal 5",MONDO,"46,XX sex reversal","46,XX sex reversal"
12327,disease,autosomal recessive nonsyndromic deafness 46,MONDO,autosomal recessive nonsyndromic deafness,autosomal recessive nonsyndromic deafness
9882,disease,"plasma clot retraction factor, deficiency of",MONDO,"plasma clot retraction factor, deficiency of","plasma clot retraction factor, deficiency of"
14945,disease,"myopathy, distal, with rimmed vacuoles",MONDO,"myopathy, distal, with rimmed vacuoles","myopathy, distal, with rimmed vacuoles"
10952,disease,hereditary hyperferritinemia with congenital cataracts,MONDO,hereditary hyperferritinemia with congenital cataracts,hereditary hyperferritinemia with congenital cataracts
8174,disease,pachyonychia congenita 2,MONDO,pachyonychia congenita,pachyonychia congenita
100316,disease,long QT syndrome 1,MONDO,long QT syndrome,long QT syndrome
100157,disease,Imerslund-Grasbeck syndrome type 2,MONDO,Imerslund-Grasbeck syndrome,Imerslund-Grasbeck syndrome
14672,disease,osteogenesis imperfecta type 17,MONDO,osteogenesis imperfecta,osteogenesis imperfecta
12077,disease,amyotrophic lateral sclerosis type 8,MONDO,amyotrophic lateral sclerosis,amyotrophic lateral sclerosis
8257,disease,"platelet responsiveness to adrenaline, depressed",MONDO,"platelet responsiveness to adrenaline, depressed","platelet responsiveness to adrenaline, depressed"
9496,disease,Kniest-like dysplasia with pursed lips and ectopia lentis,MONDO,Kniest-like dysplasia with pursed lips and ectopia lentis,Kniest-like dysplasia with pursed lips and ectopia lentis
14365,disease,spermatogenic failure 13,MONDO,spermatogenic failure,spermatogenic failure
13288,disease,"agammaglobulinemia 3, autosomal recessive",MONDO,"agammaglobulinemia 3, autosomal recessive",agammaglobulinemia
32776,disease,"deafness, autosomal recessive 99",MONDO,"deafness, autosomal recessive","deafness, autosomal recessive"
20628,disease,"microcephaly, growth restriction, and increased sister chromatid exchange 2",MONDO,"microcephaly, growth restriction, and increased sister chromatid exchange 2","microcephaly, growth restriction and increased sister chromatid exchange"
13524,disease,bleeding diathesis due to thromboxane synthesis deficiency,MONDO,bleeding diathesis due to thromboxane synthesis deficiency,bleeding diathesis due to thromboxane synthesis deficiency
11452,disease,hypotrichosis 7,MONDO,hypotrichosis,hypotrichosis
9659,disease,mucopolysaccharidosis type 4A,MONDO,mucopolysaccharidosis,mucopolysaccharidosis
8794,disease,"anhidrosis, familial generalized, with abnormal or absent sweat glands",MONDO,"anhidrosis, familial generalized, with abnormal or absent sweat glands","anhidrosis, familial generalized, with abnormal or absent sweat glands"
9652,disease,mucolipidosis type III gamma,MONDO,mucolipidosis type III gamma,mucolipidosis type III gamma
12556,disease,DK1-CDG,MONDO,DK1-CDG,DK1-CDG
13976,disease,"ectodermal dysplasia 9, hair/nail type",MONDO,"ectodermal dysplasia 9, hair/nail type",ectodermal dysplasia
9926,disease,autosomal recessive multiple pterygium syndrome,MONDO,autosomal recessive multiple pterygium syndrome,autosomal recessive multiple pterygium syndrome
8473,disease,"spondyloepimetaphyseal dysplasia, Maroteaux type",MONDO,"spondyloepimetaphyseal dysplasia, Maroteaux type",spondyloepimetaphyseal dysplasia
9550,disease,renal hypomagnesemia 3,MONDO,renal hypomagnesemia,renal hypomagnesemia
14454,disease,Hennekam lymphangiectasia-lymphedema syndrome 2,MONDO,Hennekam lymphangiectasia-lymphedema syndrome,Hennekam lymphangiectasia-lymphedema syndrome
10074,disease,"brachyolmia type 1, toledo type",MONDO,"brachyolmia type 1, toledo type","brachyolmia type 1, toledo type"
13286,disease,"immunodeficiency, common variable, 6",MONDO,"immunodeficiency, common variable","immunodeficiency, common variable"
11604,disease,spondylo-ocular syndrome,MONDO,spondylo-ocular syndrome,spondylo-ocular syndrome
9609,disease,methylcobalamin deficiency type cblG,MONDO,methylcobalamin deficiency type cblG,methylcobalamin deficiency type cblG
9261,disease,GM1 gangliosidosis type 2,MONDO,GM1 gangliosidosis,GM1 gangliosidosis
12205,disease,autosomal dominant striatal neurodegeneration type 1,MONDO,autosomal dominant striatal neurodegeneration type 1,autosomal dominant striatal neurodegeneration type 1
14850,disease,retinitis pigmentosa and erythrocytic microcytosis,MONDO,retinitis pigmentosa and erythrocytic microcytosis,retinitis pigmentosa and erythrocytic microcytosis
11481,disease,craniosynostosis 2,MONDO,craniosynostosis,craniosynostosis
