Method,Metric,Seed,Split,Task,Metric Name
Proximity,0.006993006993006993,4,autoimmune,indication,Recall@100
Proximity,0.5087634750473954,4,autoimmune,indication,Avg Rank
Proximity,0.0007692307692307692,4,autoimmune,indication,Precision@100
Proximity,0.0,4,autoimmune,indication,Precision@10
Proximity,0.0,4,autoimmune,indication,Precision@K
DSD-min,0.5296131988729758,5,autoimmune,indication,AUPRC
DSD-min,0.5107555555555556,5,autoimmune,indication,AUROC
DSD-min,0.0,5,autoimmune,indication,Recall@100
DSD-min,0.49864892634200736,5,autoimmune,indication,Avg Rank
DSD-min,0.0,5,autoimmune,indication,Precision@100
DSD-min,0.0,5,autoimmune,indication,Precision@10
DSD-min,0.0,5,autoimmune,indication,Precision@K
KL-min,0.457242150745577,5,autoimmune,indication,AUPRC
KL-min,0.39626666666666666,5,autoimmune,indication,AUROC
KL-min,0.0,5,autoimmune,indication,Recall@100
KL-min,0.4819963800481681,5,autoimmune,indication,Avg Rank
KL-min,0.0,5,autoimmune,indication,Precision@100
KL-min,0.0,5,autoimmune,indication,Precision@10
KL-min,0.0,5,autoimmune,indication,Precision@K
JS-min,0.4835140544531547,5,autoimmune,indication,AUPRC
JS-min,0.5013333333333334,5,autoimmune,indication,AUROC
JS-min,0.0,5,autoimmune,indication,Recall@100
JS-min,0.524939077313136,5,autoimmune,indication,Avg Rank
JS-min,0.0,5,autoimmune,indication,Precision@100
JS-min,0.0,5,autoimmune,indication,Precision@10
JS-min,0.0,5,autoimmune,indication,Precision@K
HGT,0.43556997368152295,5,autoimmune,indication,AUPRC
HGT,0.4432,5,autoimmune,indication,AUROC
HGT,0.0,5,autoimmune,indication,Recall@100
HGT,0.5005627370344938,5,autoimmune,indication,Avg Rank
HGT,0.0,5,autoimmune,indication,Precision@100
HGT,0.0,5,autoimmune,indication,Precision@10
HGT,0.0,5,autoimmune,indication,Precision@K
HAN,0.5277070481774705,5,autoimmune,indication,AUPRC
HAN,0.4759111111111111,5,autoimmune,indication,AUROC
HAN,0.10576923076923077,5,autoimmune,indication,Recall@100
HAN,0.3437045493398874,5,autoimmune,indication,Avg Rank
HAN,0.004615384615384616,5,autoimmune,indication,Precision@100
HAN,0.0,5,autoimmune,indication,Precision@10
HAN,0.0,5,autoimmune,indication,Precision@K
RGCN,0.5089172822414607,5,autoimmune,indication,AUPRC
RGCN,0.537511111111111,5,autoimmune,indication,AUROC
RGCN,0.038461538461538464,5,autoimmune,indication,Recall@100
RGCN,0.7176586271299683,5,autoimmune,indication,Avg Rank
RGCN,0.0007692307692307692,5,autoimmune,indication,Precision@100
RGCN,0.0,5,autoimmune,indication,Precision@10
RGCN,0.0,5,autoimmune,indication,Precision@K
BioBERT,0.661420014544916,5,autoimmune,indication,AUPRC
BioBERT,0.6613333333333333,5,autoimmune,indication,AUROC
BioBERT,0.02958579881656805,5,autoimmune,indication,Recall@100
BioBERT,0.5506033905930948,5,autoimmune,indication,Avg Rank
BioBERT,0.0038461538461538464,5,autoimmune,indication,Precision@100
BioBERT,0.0,5,autoimmune,indication,Precision@10
BioBERT,0.0,5,autoimmune,indication,Precision@K
TxGNN,0.8764719349146167,5,autoimmune,indication,AUPRC
TxGNN,0.8765333333333334,5,autoimmune,indication,AUROC
TxGNN,0.3395642818719742,5,autoimmune,indication,Recall@100
TxGNN,0.6571880220493924,5,autoimmune,indication,Avg Rank
TxGNN,0.02538461538461538,5,autoimmune,indication,Precision@100
TxGNN,0.13846153846153847,5,autoimmune,indication,Precision@10
TxGNN,0.11921732114039806,5,autoimmune,indication,Precision@K
Proximity,0.5549253356989777,5,autoimmune,indication,AUPRC
Proximity,0.5788444444444445,5,autoimmune,indication,AUROC
Proximity,0.006993006993006993,5,autoimmune,indication,Recall@100
Proximity,0.47365009194457863,5,autoimmune,indication,Avg Rank
Proximity,0.0007692307692307692,5,autoimmune,indication,Precision@100
Proximity,0.0,5,autoimmune,indication,Precision@10
Proximity,0.0,5,autoimmune,indication,Precision@K
DSD-min,0.5085725807180836,1,metabolic_disorder,indication,AUPRC
DSD-min,0.4359861591695502,1,metabolic_disorder,indication,AUROC
DSD-min,0.002551020408163265,1,metabolic_disorder,indication,Recall@100
DSD-min,0.41022586111232234,1,metabolic_disorder,indication,Avg Rank
DSD-min,0.00035714285714285714,1,metabolic_disorder,indication,Precision@100
DSD-min,0.0,1,metabolic_disorder,indication,Precision@10
DSD-min,0.0,1,metabolic_disorder,indication,Precision@K
KL-min,0.5359724320169779,1,metabolic_disorder,indication,AUPRC
KL-min,0.5006487889273357,1,metabolic_disorder,indication,AUROC
KL-min,0.02040816326530612,1,metabolic_disorder,indication,Recall@100
KL-min,0.5591331040396553,1,metabolic_disorder,indication,Avg Rank
KL-min,0.0007142857142857143,1,metabolic_disorder,indication,Precision@100
KL-min,0.0,1,metabolic_disorder,indication,Precision@10
KL-min,0.0,1,metabolic_disorder,indication,Precision@K
JS-min,0.4428788562168351,1,metabolic_disorder,indication,AUPRC
JS-min,0.42387543252595156,1,metabolic_disorder,indication,AUROC
JS-min,0.0,1,metabolic_disorder,indication,Recall@100
JS-min,0.44651543286662404,1,metabolic_disorder,indication,Avg Rank
JS-min,0.0,1,metabolic_disorder,indication,Precision@100
JS-min,0.0,1,metabolic_disorder,indication,Precision@10
JS-min,0.0,1,metabolic_disorder,indication,Precision@K
HGT,0.5208375417815235,1,metabolic_disorder,indication,AUPRC
HGT,0.48551038062283736,1,metabolic_disorder,indication,AUROC
HGT,0.014285714285714285,1,metabolic_disorder,indication,Recall@100
HGT,0.4444411458186391,1,metabolic_disorder,indication,Avg Rank
HGT,0.0007142857142857143,1,metabolic_disorder,indication,Precision@100
HGT,0.0,1,metabolic_disorder,indication,Precision@10
HGT,0.0023809523809523807,1,metabolic_disorder,indication,Precision@K
HAN,0.4525398210151213,1,metabolic_disorder,indication,AUPRC
HAN,0.47383217993079585,1,metabolic_disorder,indication,AUROC
HAN,0.0023809523809523807,1,metabolic_disorder,indication,Recall@100
HAN,0.4761369999803365,1,metabolic_disorder,indication,Avg Rank
HAN,0.00035714285714285714,1,metabolic_disorder,indication,Precision@100
HAN,0.0,1,metabolic_disorder,indication,Precision@10
HAN,0.0,1,metabolic_disorder,indication,Precision@K
RGCN,0.6627212119027287,1,metabolic_disorder,indication,AUPRC
RGCN,0.6846885813148789,1,metabolic_disorder,indication,AUROC
RGCN,0.25,1,metabolic_disorder,indication,Recall@100
RGCN,0.729878069111269,1,metabolic_disorder,indication,Avg Rank
RGCN,0.0028571428571428567,1,metabolic_disorder,indication,Precision@100
RGCN,0.0035714285714285718,1,metabolic_disorder,indication,Precision@10
RGCN,0.0,1,metabolic_disorder,indication,Precision@K
BioBERT,0.6856596578435712,1,metabolic_disorder,indication,AUPRC
BioBERT,0.6963667820069204,1,metabolic_disorder,indication,AUROC
BioBERT,0.017857142857142856,1,metabolic_disorder,indication,Recall@100
BioBERT,0.6184863753217763,1,metabolic_disorder,indication,Avg Rank
BioBERT,0.00035714285714285714,1,metabolic_disorder,indication,Precision@100
BioBERT,0.0,1,metabolic_disorder,indication,Precision@10
BioBERT,0.0,1,metabolic_disorder,indication,Precision@K
TxGNN,0.7583946622774362,1,metabolic_disorder,indication,AUPRC
TxGNN,0.7977941176470589,1,metabolic_disorder,indication,AUROC
TxGNN,0.1476190476190476,1,metabolic_disorder,indication,Recall@100
TxGNN,0.623730335416811,1,metabolic_disorder,indication,Avg Rank
TxGNN,0.0032142857142857142,1,metabolic_disorder,indication,Precision@100
TxGNN,0.0071428571428571435,1,metabolic_disorder,indication,Precision@10
TxGNN,0.0,1,metabolic_disorder,indication,Precision@K
Proximity,0.4184130387202524,1,metabolic_disorder,indication,AUPRC
Proximity,0.35683391003460213,1,metabolic_disorder,indication,AUROC
Proximity,0.0,1,metabolic_disorder,indication,Recall@100
Proximity,0.29127068195633166,1,metabolic_disorder,indication,Avg Rank
Proximity,0.0,1,metabolic_disorder,indication,Precision@100
Proximity,0.0,1,metabolic_disorder,indication,Precision@10
Proximity,0.0,1,metabolic_disorder,indication,Precision@K
DSD-min,0.5048920405705271,2,metabolic_disorder,indication,AUPRC
DSD-min,0.5058391003460208,2,metabolic_disorder,indication,AUROC
DSD-min,0.0,2,metabolic_disorder,indication,Recall@100
DSD-min,0.4769832364264041,2,metabolic_disorder,indication,Avg Rank
DSD-min,0.0,2,metabolic_disorder,indication,Precision@100
DSD-min,0.0,2,metabolic_disorder,indication,Precision@10
DSD-min,0.0,2,metabolic_disorder,indication,Precision@K
KL-min,0.5036510109643306,2,metabolic_disorder,indication,AUPRC
KL-min,0.5054065743944637,2,metabolic_disorder,indication,AUROC
KL-min,0.0,2,metabolic_disorder,indication,Recall@100
KL-min,0.45342192174092194,2,metabolic_disorder,indication,Avg Rank
KL-min,0.0,2,metabolic_disorder,indication,Precision@100
KL-min,0.0,2,metabolic_disorder,indication,Precision@10
KL-min,0.0,2,metabolic_disorder,indication,Precision@K
JS-min,0.5520009341682017,2,metabolic_disorder,indication,AUPRC
JS-min,0.52530276816609,2,metabolic_disorder,indication,AUROC
JS-min,0.03571428571428571,2,metabolic_disorder,indication,Recall@100
JS-min,0.5266391249223078,2,metabolic_disorder,indication,Avg Rank
JS-min,0.00035714285714285714,2,metabolic_disorder,indication,Precision@100
JS-min,0.0,2,metabolic_disorder,indication,Precision@10
JS-min,0.0,2,metabolic_disorder,indication,Precision@K
HGT,0.6172364714157064,2,metabolic_disorder,indication,AUPRC
HGT,0.6330017301038062,2,metabolic_disorder,indication,AUROC
HGT,0.03571428571428571,2,metabolic_disorder,indication,Recall@100
HGT,0.47947456096929164,2,metabolic_disorder,indication,Avg Rank
HGT,0.0007142857142857143,2,metabolic_disorder,indication,Precision@100
HGT,0.0035714285714285718,2,metabolic_disorder,indication,Precision@10
HGT,0.0,2,metabolic_disorder,indication,Precision@K
HAN,0.4946040141647777,2,metabolic_disorder,indication,AUPRC
HAN,0.5717993079584776,2,metabolic_disorder,indication,AUROC
HAN,0.0,2,metabolic_disorder,indication,Recall@100
HAN,0.5393524419947696,2,metabolic_disorder,indication,Avg Rank
HAN,0.0,2,metabolic_disorder,indication,Precision@100
HAN,0.0,2,metabolic_disorder,indication,Precision@10
HAN,0.0,2,metabolic_disorder,indication,Precision@K
RGCN,0.6960962885712122,2,metabolic_disorder,indication,AUPRC
RGCN,0.7242647058823529,2,metabolic_disorder,indication,AUROC
RGCN,0.17857142857142858,2,metabolic_disorder,indication,Recall@100
RGCN,0.7287725735009348,2,metabolic_disorder,indication,Avg Rank
RGCN,0.002142857142857143,2,metabolic_disorder,indication,Precision@100
RGCN,0.0035714285714285718,2,metabolic_disorder,indication,Precision@10
RGCN,0.0,2,metabolic_disorder,indication,Precision@K
BioBERT,0.6856596578435712,2,metabolic_disorder,indication,AUPRC
BioBERT,0.6963667820069204,2,metabolic_disorder,indication,AUROC
BioBERT,0.017857142857142856,2,metabolic_disorder,indication,Recall@100
BioBERT,0.6184863753217763,2,metabolic_disorder,indication,Avg Rank
BioBERT,0.00035714285714285714,2,metabolic_disorder,indication,Precision@100
BioBERT,0.0,2,metabolic_disorder,indication,Precision@10
BioBERT,0.0,2,metabolic_disorder,indication,Precision@K
TxGNN,0.7578340136111263,2,metabolic_disorder,indication,AUPRC
TxGNN,0.8021193771626297,2,metabolic_disorder,indication,AUROC
TxGNN,0.23452380952380952,2,metabolic_disorder,indication,Recall@100
TxGNN,0.6289631386046942,2,metabolic_disorder,indication,Avg Rank
TxGNN,0.003928571428571429,2,metabolic_disorder,indication,Precision@100
TxGNN,0.0071428571428571435,2,metabolic_disorder,indication,Precision@10
TxGNN,0.0,2,metabolic_disorder,indication,Precision@K
Proximity,0.4119855229810273,2,metabolic_disorder,indication,AUPRC
Proximity,0.35445501730103807,2,metabolic_disorder,indication,AUROC
Proximity,0.0,2,metabolic_disorder,indication,Recall@100
Proximity,0.27579904401122013,2,metabolic_disorder,indication,Avg Rank
Proximity,0.0,2,metabolic_disorder,indication,Precision@100
Proximity,0.0,2,metabolic_disorder,indication,Precision@10
Proximity,0.0,2,metabolic_disorder,indication,Precision@K
DSD-min,0.4624697516467672,3,metabolic_disorder,indication,AUPRC
DSD-min,0.3812716262975779,3,metabolic_disorder,indication,AUROC
DSD-min,0.02023809523809524,3,metabolic_disorder,indication,Recall@100
DSD-min,0.4601241237980677,3,metabolic_disorder,indication,Avg Rank
DSD-min,0.0007142857142857143,3,metabolic_disorder,indication,Precision@100
DSD-min,0.0,3,metabolic_disorder,indication,Precision@10
DSD-min,0.0,3,metabolic_disorder,indication,Precision@K
KL-min,0.5299497560044933,3,metabolic_disorder,indication,AUPRC
KL-min,0.49632352941176466,3,metabolic_disorder,indication,AUROC
KL-min,0.014285714285714285,3,metabolic_disorder,indication,Recall@100
KL-min,0.5491721019185606,3,metabolic_disorder,indication,Avg Rank
KL-min,0.0007142857142857143,3,metabolic_disorder,indication,Precision@100
KL-min,0.0,3,metabolic_disorder,indication,Precision@10
KL-min,0.0,3,metabolic_disorder,indication,Precision@K
JS-min,0.5929298905407345,3,metabolic_disorder,indication,AUPRC
JS-min,0.5875865051903115,3,metabolic_disorder,indication,AUROC
